Age,Education_Level,Years_of_Experience,Industry,Job_Role,Company_Size,Job_Level,Routine_Task_Percentage,Creativity_Requirement,Human_Interaction_Level,AI_Adoption_Level,Number_of_AI_Tools_Used,AI_Usage_Hours_Per_Week,Tasks_Automated_Percentage,AI_Training_Hours,Layoff_Risk
39.0,Bachelor's,15.0,Manufacturing,Production Supervisor,Large,Mid,76,24,32,Medium,3,6.0,68,24.0,High
50.0,Bachelor's,13.0,Healthcare,Nurse,Small,Mid,44,54,91,Low,0,2.0,28,5.0,Low
47.0,Bachelor's,8.0,IT,ML Engineer,Small,Mid,91,0,85,Medium,4,13.0,62,28.0,High
33.0,High School,0.0,Retail,Inventory Analyst,Large,Entry,53,37,67,Low,0,5.0,43,2.0,High
,Master's,17.0,IT,ML Engineer,Small,Mid,89,9,32,High,7,28.0,85,58.0,High
28.0,Bachelor's,7.0,Retail,Inventory Analyst,Large,Entry,82,21,55,Medium,2,14.0,78,17.0,High
48.0,Bachelor's,12.0,Telecom,Network Engineer,Small,Mid,71,29,90,Medium,4,7.0,42,8.0,Medium
29.0,High School,8.0,Healthcare,Medical Assistant,Medium,Mid,93,0,63,High,9,16.0,60,28.0,High
34.0,Master's,8.0,IT,Software Engineer,Large,Mid,79,10,21,Medium,5,11.0,55,20.0,High
25.0,Master's,4.0,Logistics,Dispatcher,Medium,Mid,89,7,89,High,7,20.0,42,38.0,High
31.0,High School,5.0,Telecom,Support Specialist,Medium,Entry,44,60,36,Low,1,3.0,40,6.0,High
59.0,High School,7.0,Healthcare,Health Analyst,Medium,Mid,93,5,48,High,8,18.0,90,74.0,High
27.0,Bachelor's,3.0,Finance,Financial Analyst,Small,Mid,33,57,34,Low,2,1.0,28,1.0,Medium
45.0,Master's,6.0,Healthcare,Health Analyst,Small,Entry,20,98,52,Low,0,3.0,18,6.0,Low
49.0,Bachelor's,7.0,Retail,Sales Associate,Large,Senior,72,14,28,Medium,2,12.0,46,14.0,High
38.0,Bachelor's,3.0,Education,Academic Coordinator,Medium,Senior,56,40,32,Low,0,2.0,51,7.0,Low
24.0,Bachelor's,3.0,Logistics,Supply Chain Analyst,Small,Mid,62,46,81,Medium,5,6.0,48,22.0,Medium
31.0,Bachelor's,2.0,IT,Software Engineer,Small,Entry,16,74,38,Low,1,0.0,9,8.0,Low
23.0,Bachelor's,2.0,Retail,Inventory Analyst,Medium,Entry,87,5,35,Medium,3,12.0,46,16.0,High
25.0,Bachelor's,4.0,Retail,Store Manager,Medium,Senior,86,0,72,Medium,5,12.0,82,29.0,High
57.0,Bachelor's,11.0,Retail,Inventory Analyst,Medium,Mid,39,80,41,Low,0,0.0,29,1.0,Medium
27.0,Master's,6.0,Retail,Sales Associate,Medium,Mid,85,4,77,Medium,3,14.0,56,21.0,High
21.0,Bachelor's,0.0,Manufacturing,Production Supervisor,Medium,Mid,16,75,81,Low,2,2.0,9,6.0,Low
32.0,Bachelor's,6.0,IT,Data Analyst,Medium,Senior,58,22,37,Medium,2,11.0,57,14.0,Medium
35.0,High School,0.0,Finance,Financial Analyst,Small,Mid,57,44,64,Low,1,0.0,40,4.0,High
22.0,Bachelor's,1.0,Logistics,Warehouse Manager,Medium,Senior,88,9,24,Medium,2,10.0,66,18.0,High
34.0,High School,13.0,Manufacturing,Operator,Small,Entry,54,36,58,Low,1,4.0,37,0.0,High
60.0,Bachelor's,1.0,Manufacturing,Production Supervisor,Medium,Mid,36,58,74,Low,2,2.0,30,5.0,Medium
26.0,Bachelor's,5.0,Logistics,Warehouse Manager,Medium,Entry,33,67,67,Low,0,4.0,16,7.0,Medium
59.0,Master's,2.0,Education,Teacher,Small,Senior,61,39,94,Medium,2,6.0,28,8.0,Low
46.0,Bachelor's,3.0,Telecom,Network Engineer,Large,Entry,19,82,21,Low,1,2.0,13,1.0,Low
25.0,Master's,4.0,Healthcare,Health Analyst,Small,Senior,93,0,89,Medium,2,11.0,59,9.0,Medium
53.0,Bachelor's,14.0,Retail,Store Manager,Medium,Mid,25,79,90,Low,0,2.0,21,2.0,Low
50.0,Master's,13.0,IT,Software Engineer,Medium,Mid,61,44,76,Medium,2,5.0,52,13.0,Medium
37.0,Bachelor's,7.0,Telecom,Support Specialist,Small,Entry,91,0,44,Medium,2,14.0,68,13.0,High
55.0,High School,12.0,Education,Teacher,Small,Senior,61,41,86,Medium,3,6.0,51,25.0,Low
23.0,Bachelor's,2.0,Manufacturing,Operator,Small,Entry,12,72,48,Low,1,2.0,8,9.0,Medium
60.0,Bachelor's,13.0,Telecom,Support Specialist,Medium,Entry,66,17,85,Medium,2,14.0,53,26.0,High
49.0,Bachelor's,6.0,Finance,Accountant,Small,Entry,77,26,93,Medium,4,5.0,66,13.0,High
46.0,Bachelor's,4.0,Retail,Sales Associate,Small,Entry,70,11,55,Medium,3,8.0,53,15.0,High
38.0,PhD,8.0,IT,Software Engineer,Small,Entry,20,79,51,Low,2,3.0,9,6.0,Low
26.0,High School,5.0,Healthcare,Nurse,Small,Entry,63,47,89,High,5,22.0,61,39.0,Medium
29.0,Bachelor's,3.0,Healthcare,Nurse,Medium,Entry,12,85,71,Low,2,0.0,5,9.0,Low
51.0,Master's,17.0,Finance,Accountant,Medium,Mid,71,25,59,Medium,5,11.0,36,13.0,Medium
35.0,High School,10.0,Manufacturing,Production Supervisor,Large,Senior,51,34,92,Medium,2,8.0,38,16.0,Medium
28.0,High School,7.0,Education,Academic Coordinator,Medium,Mid,27,71,75,Low,0,5.0,14,2.0,Low
27.0,Master's,4.0,Telecom,Support Specialist,Small,Entry,77,23,52,Medium,5,8.0,69,8.0,High
48.0,Master's,8.0,Manufacturing,Production Supervisor,Medium,Entry,36,82,80,Low,0,1.0,27,7.0,Medium
42.0,Bachelor's,6.0,IT,ML Engineer,Large,Mid,52,31,21,Low,0,1.0,32,5.0,Medium
45.0,Bachelor's,8.0,Telecom,Operations Analyst,Medium,Entry,36,49,33,Low,0,4.0,32,7.0,Medium
33.0,Master's,12.0,Finance,Accountant,Large,Entry,84,14,85,Medium,3,6.0,62,17.0,High
38.0,Bachelor's,0.0,Retail,Inventory Analyst,Small,Entry,40,47,77,Low,0,1.0,26,5.0,High
39.0,Bachelor's,10.0,Healthcare,Medical Assistant,Small,Entry,24,71,72,Low,2,0.0,23,8.0,Low
50.0,Bachelor's,2.0,Logistics,Dispatcher,Medium,Entry,22,83,31,Low,2,4.0,13,3.0,Medium
57.0,Bachelor's,1.0,Finance,Accountant,Small,Entry,68,34,63,Medium,5,9.0,40,25.0,High
53.0,Master's,5.0,Manufacturing,Production Supervisor,Large,Mid,45,56,20,Low,1,2.0,20,3.0,Medium
27.0,Master's,3.0,Retail,Inventory Analyst,Medium,Entry,43,65,22,Low,1,5.0,42,6.0,Medium
52.0,Bachelor's,8.0,Manufacturing,Production Supervisor,Large,Entry,22,83,45,Low,2,5.0,20,9.0,Medium
37.0,Bachelor's,7.0,Healthcare,Nurse,Medium,Mid,15,94,85,Low,2,1.0,14,0.0,Low
42.0,Master's,15.0,Finance,Financial Analyst,Small,Entry,45,61,24,Low,1,4.0,40,2.0,Medium
32.0,Master's,11.0,Telecom,Support Specialist,Small,Entry,27,60,71,Low,0,2.0,17,5.0,Low
43.0,Master's,11.0,IT,Data Analyst,Medium,Entry,33,62,35,Low,0,1.0,31,4.0,Medium
59.0,Bachelor's,14.0,Manufacturing,Production Supervisor,Large,Senior,79,9,47,High,6,20.0,75,58.0,High
38.0,Bachelor's,0.0,Healthcare,Medical Assistant,Medium,Senior,79,31,39,High,9,27.0,39,24.0,Medium
53.0,Bachelor's,0.0,Retail,Store Manager,Medium,Entry,49,39,82,Medium,2,9.0,33,28.0,High
27.0,Bachelor's,4.0,Healthcare,Nurse,Medium,Entry,43,44,66,Low,0,0.0,37,0.0,Medium
50.0,High School,15.0,Finance,Financial Analyst,Small,Mid,28,80,71,Low,1,3.0,25,9.0,Low
53.0,PhD,0.0,Retail,Inventory Analyst,Medium,Entry,12,79,62,Low,1,2.0,11,8.0,Low
58.0,High School,3.0,Manufacturing,Production Supervisor,Small,Mid,55,35,23,Low,0,2.0,45,4.0,High
37.0,Bachelor's,13.0,Manufacturing,Operator,Small,Entry,75,37,59,Medium,5,8.0,49,25.0,High
21.0,Master's,0.0,Education,Academic Coordinator,Small,Mid,90,1,63,Medium,4,10.0,79,9.0,High
45.0,Bachelor's,11.0,Retail,Sales Associate,Medium,Mid,72,19,72,Medium,4,6.0,41,15.0,High
55.0,High School,13.0,Education,Teacher,Medium,Mid,50,38,94,Low,2,5.0,47,2.0,Medium
28.0,High School,7.0,Retail,Store Manager,Large,Mid,86,8,84,Medium,3,9.0,52,10.0,High
24.0,High School,3.0,Healthcare,Medical Assistant,Small,Entry,13,74,30,Low,1,3.0,6,6.0,Low
43.0,Bachelor's,11.0,Telecom,Support Specialist,Large,Entry,12,90,26,Low,0,5.0,6,6.0,Low
45.0,Master's,12.0,Manufacturing,Quality Engineer,Medium,Entry,82,20,55,Medium,4,11.0,64,10.0,High
51.0,Bachelor's,3.0,IT,Software Engineer,Medium,Entry,49,47,68,Low,2,4.0,29,5.0,Medium
54.0,Master's,0.0,Healthcare,Nurse,Large,Senior,48,59,65,Medium,5,5.0,30,28.0,Low
29.0,High School,8.0,Finance,Auditor,Large,Senior,28,67,66,Low,2,0.0,26,6.0,Low
44.0,High School,14.0,Finance,Accountant,Small,Mid,51,50,84,Low,2,2.0,24,4.0,Medium
32.0,PhD,4.0,IT,ML Engineer,Small,Entry,66,20,55,Low,1,5.0,34,4.0,Medium
58.0,Bachelor's,7.0,Retail,Sales Associate,Medium,Mid,37,77,66,Low,0,5.0,25,4.0,Medium
29.0,High School,8.0,Retail,Inventory Analyst,Large,Mid,75,13,75,Medium,3,14.0,72,27.0,High
60.0,Master's,8.0,Retail,Inventory Analyst,Medium,Mid,64,26,39,Medium,5,6.0,39,29.0,Medium
24.0,Master's,3.0,Finance,Auditor,Small,Entry,35,52,80,Low,1,1.0,22,6.0,Low
42.0,Bachelor's,15.0,IT,Software Engineer,Medium,Senior,77,25,72,Medium,4,9.0,48,10.0,Medium
56.0,Bachelor's,8.0,Finance,Auditor,Small,Mid,90,26,87,Medium,3,12.0,72,9.0,High
22.0,High School,1.0,Logistics,Warehouse Manager,Small,Entry,41,79,86,Low,0,1.0,36,9.0,High
33.0,Bachelor's,10.0,Logistics,Dispatcher,Small,Entry,67,41,24,Medium,3,14.0,47,7.0,High
60.0,Bachelor's,10.0,Manufacturing,Operator,Large,Entry,75,31,59,Medium,5,8.0,62,15.0,High
31.0,Master's,10.0,Telecom,Support Specialist,Small,Mid,53,44,82,Medium,2,11.0,40,20.0,Medium
38.0,Master's,0.0,Telecom,Support Specialist,Medium,Entry,15,80,37,Low,0,2.0,12,0.0,Low
55.0,Master's,4.0,Manufacturing,Quality Engineer,Medium,Entry,90,3,69,High,8,24.0,68,37.0,High
36.0,Bachelor's,15.0,Manufacturing,Quality Engineer,Large,Entry,41,62,54,Low,1,0.0,20,6.0,Medium
